Iters,NWorkers,Window,CV,Seed
10000,4,0,0.5,596823
10000,4,1,0.5,596823
10000,4,2,0.5,596823
10000,4,4,0.5,596823
10000,4,8,0.5,596823
10000,4,16,0.5,596823
10000,4,0,1,596823
10000,4,1,1,596823
10000,4,2,1,596823
10000,4,4,1,596823
10000,4,8,1,596823
10000,4,16,1,596823
10000,4,0,2,596823
10000,4,1,2,596823
10000,4,2,2,596823
10000,4,4,2,596823
10000,4,8,2,596823
10000,4,16,2,596823
10000,1,0,1,596823
10000,2,0,1,596823
10000,4,0,1,596823
10000,8,0,1,596823
10000,16,0,1,596823
10000,1,4,1,596823
10000,2,4,1,596823
10000,4,4,1,596823
10000,8,4,1,596823
10000,16,4,1,596823
10000,16,0,2,596823
10000,16,4,2,596823
10000,16,0,0.5,596823
10000,16,4,0.5,596823
10000,16,0,1,596823
10000,16,4,1,596823